name,translation
Balance - Hip Strategy (A-P),تعادل استراتژی هیپ 
Balance - Hip Strategy + Forward Reach,تعادل استراتژی هیپ و دستیابی به جلو
Balance - Hip Strategy + Lateral Reach,تعادل استراتژی هیپ و دستیابی جانبی
Balance - Lateral Weight Shift,تعادل انتقال وزن جانبی
Bilateral Sideways Pivot,محور جانبی دوطرفه
Carioca Drill,مهارت کریوکا
Forward Reach,رسیدن به جلو
Four Point + Arm and Leg Raise - Alphabet,چهار نقطه و دست پا بالا
Full Tandem (Foam),پا پشت سر هم فوم
Full Tandem (Wall),پا پشت سر هم دیوار
Full Tandem - Arms to Side (Foam),پا پشت سرهم کامل و دست ها به طرفین (فوم)
Full Tandem - Cervical Extension Quadrant,پا پشت سر هم و باز شدن یک چهارم گردن
Full Tandem - Cervical Flexion + Extension,پا پشت سر هم خم و باز کردن گردن
Full Tandem - Head Rotation (Foam), پا پشت سرهم کامل و چرخش سر (فوم)
Full Tandem - Head Rotation,پا پشت سر هم چرخش سر
Full Tandem - Lateral Reach (Foam),پا پشت سرهم و دستیابی جانبی (فوم)
Full Tandem - Lateral Reach,پا پشت سر هم و دستیابی جانبی 
Full Tandem - Reach Across Body (Foam),پا پشت سر هم رسیدن به سراسر بدن
Full Tandem - Reach Across Midline,پا پشت سر هم دستیابی طرفین از وسط
Full Tandem - Upward Reach,پا پشت سر هم کامل و دستیابی به بالا 
Full Tandem,پا پشت سرهم
Half Kneeling Balance + Trunk Twist,تعادل نیمه زانو زدن و چرخش تنه
Half Kneeling Balance- Inline,تعادل نیمه زانو زدن درون خطی
Half Kneeling,نیمه زانو زدن
Heel + Toe Raise1,پاشنه و انگشتان بالا آوردن1
Heel + Toe Raise,پاشنه و انگشتان بالا آوردن
Heel Raise (Ankle Weight),بالا امدن پاشنه (مچ پا)
Heel Raise - Toe Raise,بالا امدن پاشنه و انگشتان
Hip Diagonal D1 AROM (Chair),دامنه مورب هیپ (صندلی)
Hip Diagonal D1 AROM,دامنه مورب هیپ
Hip External Rotation - Heel Slide on Shin,چرخش خارجی هیپ و پاشنه سر خوردن به ساق
Hip External Rotation - Heel to Opposite Knee,چرخش خارجی هیپ پاشنه به زانو مخالف
Hip Hinge - Anterior Focus,خم کردن هیپ با تمرکز به جلو
Hip Hinge - Stick on Back,خم کردن هیپ با چوب در پشت
Knee Flexion AROM,آروم خم شدن زانو
Lateral Stepping (Towel),گام برداشتن جانبی ( حوله)
Lateral Weight Shift,انتقال جانبی وزن 
Marching (Chair),قدم برداشتن (صندلی)
Marching,قدم زدن
Partial Tandem - Cervical Extension Quadrant,پا پشت سر هم و باز شدن یک چهارم گردن
Partial Tandem - Cervical Flexion + Extension,پا پشت سرهم جزئی و خم و باز شدن گردن
Partial Tandem - Cervical Rotation,پا پشت سرهم جزئی و چرخش گردن
Partial Tandem - Lateral Reach,پا پشت سر هم جزئی و دستیابی جانبی
Partial Tandem - Reach Across Body,پا پشت سرهم جزئی و دستیابی در سراسر بدن
Partial Tandem - Reach Upwards,پا پشت سر هم جزئی و دستیابی به بالا
Pelvis Rotation,چرخش لگن
Quick Step Drill,مهارت سریع قدم برداشتن
Reach and Rock (Exaggerated Forward Arm Swing),دستیابی (تاب خوردن اغراق آمیز بازو به جلو)
Single Leg Balance + UE Destabilization,تعادل تک پا
Single Leg Balance - Clock,تعادل تک پا ساعتی
Single Leg Balance - Foot Intrinsic Focus,تعادل تک پا تمرکز به عضلات کف پا
Single Leg Balance - Hands on Hips,تعادل تک پا و دست ها بر روی پهلو
Single Leg Balance,تعادل تک پا 
Single Leg Calf Raise Balancing + UE Destabilization,تعادل تک پا بالا آوردن ساق و بی ثباتی
Single Leg Stance (Floor),ایستادن تک پا (زمین)
Single Leg Stance + Forward Reach,ایستادن تک پا رسیدن به جلو 
Single Leg Stance + Lateral Reach,ایستادن تک پا و دستیابی جانبی
Single Leg Stance + Reach Across Midline,تعادل تک پا در سراسر خط میانی
Single Leg Stance - Eyes Closed,ایستادن تک پا و چشم های بسته 
Single Leg Stance1,ایستادن تک پا
Squat Soleus,اسکات سولئوس
Standing Ankle Eversion,ایستادن اورژن مچ پا
Standing Ankle Inversion,ایستادن اینورژن مچ پا
Standing Unsupported - Eyes Closed,ایستادن چشم های بسته بدون حمایت
Standing Unsupported - Feet together + Eyes Closed,ایستادن بدون حمایت پاها چسبیده به هم چشم بسته
Standing Unsupported - Feet Together,ایستادن بدون حمایت پا چسبیده
Step and Reach Across,ایستادن و رسیدن به طرفین
Tandem Pivot,پا پشت سر هم در یک محور
Tandem Walk (Wall),پیاده روی پا پشت سرهم (Wall)
Turn 360 Degrees,چرخش 360 درجه
Walking - Exaggerated Stepping,پیاده روی و قدم برداشتن اغراق آمیز
Walking - Head Rotation,پیاده روی و چرخش سر
Walking - Tandem Stepping,پیاده روی و قدم برداشتن پا پشت سرهم
Weight Shift - Ankle Strategy - Backwards,انتقال وزن با استراتژی عقبی مچ پا
'A' Stance - Posterior Resistance,ایستادن مقامت در پشت
'A' Stance Step-Up - Posterior Resistance,ایستادن بالا رفتن مقاومت پشتی
Airplane (Dumbbells),هواپیما (دمبل)
Athletic Side-Stepping - Shuffle,شافل گام بردان جانبی ورزشی
Bicep Curl - Single Leg Balance,تعادل تک پا-جلو بازو
Deadlift - Single Leg + Horizontal Abduction (Dumbbell),ددلیفت تک پا و دور کردن افقی  (دمبل)
Deadlift - Single Leg + Opposite Arm Row (Dumbbell),ددلیفت تک پا دست مخالف کشیدن (دمبل)
Deadlift - Single Leg + Same Arm Row (Dumbbell),ددلیفت تک پا کشیدن دست (دمبل)
Half Kneeling Balance + Lateral Weight Lowering (Dumbbell),تعادل نیم زانوزدن و انتقال وزن جانبی (دمبل)
Heel + Toe Raise2,بالاآوردن پاشنه انگشتان
Heel Raises - Resisted (Wedge),بالا آوردن پاشنه(تخته تعادل)
Heel Raise,بالاآوردن پاشنه
Hip D1 Pattern - Ascending (Band + Chair),الگوی هیپ D1 صعودی (کش صندلی)
Hip D1 Pattern - Descending (Band + Chair),الگوی هیپ D1 و نزول(کش صندلی)
Hip D1 Pattern - Descending (Band),الگوی نزولی هیپ (کش)
Hip D2 Pattern - Ascending (Band + Chair),الگوی هیپ D2 صعود (کش صندلی)
Hip D2 Pattern - Ascending (Band),الگوی هیپ D2 صعود (کش)
Hip D2 Pattern - Descending (Band + Chair),الگوی هیپ D2 ونزول (کش صندلی)
Hip D2 Pattern - Descending (Band),الگوی هیپ D2 نزول (کش)
Hip D2 Pattern AROM (Chair),الگوی هیپ D2  (صندلی)
Hip Diagonal D1 - Ascending (Band),مورب هیپ D1 صعودی (کش)
Hip Hinge + Posterior Resistance - Tall Kneeling,چرخشی خارجی لگن و لغزش پاشنه روی ساق پا
Hip Hinge - Posterior Resistance,خم شدن هیپ و مقاومت در پشت
Lateral Lunge (Bosu),لانج جانبی (بوسوبال)
Lateral Step-Up - Supported,لانج جانبی و دست ها به جلو (بوسوبال)
Marching A - Ankle Dorsiflexion (Band),قدم زدن کشش پنجه پا به سمت خود(کش)
Seated Knee Extension (Ball),باز شدن زانو نشسته (توپ)
Seated Marching (Ball),قدم زدن نشسته (توپ)
Split Squat (Foam),اسکوات (فوم)
Toe Raises (Ball),بالا آوردن انگشتان پا (توپ)
Toe Raises - Wedge Resisted,بالا آوردن انگشتان بر روی تخته تعادل
Triple Flexion Lower Extremity Pattern (Ball),الگوی خم شدن سه گانه اندام تحتانی (توپ)
Triple Flexion Lower Extremity Pattern - Band Resisted (Ball. Band),الگوی اندام تحتانی خم سه گانه (توپ کش)
Weight Shift - Ankle Strategy - Backwards,انتقال وزن با استراتژی مچ پا به عقب
Weight Shift - Ankle Strategy,انتقال وزن با استراتژی مچ پا
Weight Shift - Forward and Backward in Close Standing,انتقال وزن به جلو و عقب در حالت ایستاده نزدیک
آسیاب بادی,آسیاب بادی
اسکوات با مشت,اسکوات با مشت
اسکوات همراه پا بالا,اسکوات همراه پا بالا
اسکی بازی,اسکی بازی
بالا آوردن پا از جلو,بالا آوردن پا از جلو
بالاآوردن جانبی پا,بالاآوردن جانبی پا
برپی,برپی
زانو به آرنج,زانو به آرنج
زاو بلند,زاو بلند
ضربه به باسن,ضربه به باسن
ضربه زانو,ضربه زانو
قدم چرخشی,قدم چرخشی
لانچ زانو بالا,لانچ زانو بالا
لمس انگشتان پا ایستاده,لمس انگشتان پا ایستاده
لی لی ت پا,لی لی ت پا
لی لی,لی لی
نیم پروانه,نیم پروانه
پروانه به جلو,پروانه به جلو
پروانه جانبی,پروانه جانبی
پروانه دست جلو,پروانه دست جلو
پروانه,پروانه
پریدن تی شکل,پریدن تی شکل
پریدن جانبی,پریدن جانبی
کوهنوردی دست به پا,کوهنوردی دست به پا
کوهنوردی,کوهنوردی
CHAIR DIP,دیپ صندلی
PUSH-UP,شنا
TRICEPS ROLL-OUT,پشت بازو رول
بازو بسته کرده پاها روی توپ,بازو بسته کرده پاها روی توپ
بالا آوردن مورب پاها آویزان,بالا آوردن مورب پاها آویزان
بالا آوردن پاها آویزان,بالا آوردن پاها آویزان
بالارفتن از کوه با قرار دادن دست ها روی توپ سوئیسی,بالارفتن از کوه با قرار دادن دست ها روی توپ سوئیسی
بالارفتن از کوه به صورت متفاطع به همراه قراردادن پاها بر روی توپ سوئیسی,بالارفتن از کوه به صورت متفاطع به همراه قراردادن پاها بر روی توپ سوئیسی
جک نایف یک پا بر روی توپ سوئیسی,جک نایف یک پا بر روی توپ سوئیسی
حرکت نیزهای روی توپ سوییسی,حرکت نیزهای روی توپ سوییسی
دراز نشست v شکل,دراز نشست v شکل
سر خوردن با یک دست به سمت جلو با ولساید,سر خوردن با یک دست به سمت جلو با ولساید
سر خوردن به جلو ولساید,سر خوردن به جلو ولساید
علتانتدن توپ سوییسی,علتانتدن توپ سوییسی
علتاندن هالتر,علتاندن هالتر
پانک پا باز بالا اوردن دست و پای معکوس,پانک پا باز بالا اوردن دست و پای معکوس
پایین آوردن یک پا به صورت آویزان,پایین آوردن یک پا به صورت آویزان
پریدن از روی مانع به صورت آویزانت,پریدن از روی مانع به صورت آویزانت
پلانک روی توپ سوییسی و نیم کت,پلانک روی توپ سوییسی و نیم کت
پلانک پا یاز بالا کشیدن یک دست مورب,پلانک پا یاز بالا کشیدن یک دست مورب
پلانک پهلو پا روی توپ سوییسی,پلانک پهلو پا روی توپ سوییسی
ABDOMINAL KICK,ضربه به شکم
CROSSOVER CRUNCH,کراس آور کرانچ
HAMSTRING PULL-IN,کشش همسترینگ
HAND WALK-OUT,راه رفتن روی دست
HIGH LUNGE,لانج بالا
PLANK ROLL-DOWN,پلانک رولی
PUSH-UP,شنا
RUSSIAN TWIST,چرخش روسی
SCISSORS,قیچی
SIDE-BEND PLANK,پلانک جانبی
SPINE TWIST,پیچش ستون فقرات
SUPINE MARCHES,راه رفتن طاقباز
TENDON STRETCH,کشش تاندون
TINY STEPS,گا های کوچ
WALL SITS,نشستن دیوار
بالا رفتن از کوه,بالا رفتن از کوه
بالارفتن از کوه با قرار دادن دست ها روی نیمکت,بالارفتن از کوه با قرار دادن دست ها روی نیمکت
بالارفتن از کوه به صورت متقاطع(صلیبی),بالارفتن از کوه به صورت متقاطع(صلیبی)
تاب دادن یک پا به داخل و خارج,تاب دادن یک پا به داخل و خارج
تثبیت ناحیه مرکزی بدن و چرخش دست ها,تثبیت ناحیه مرکزی بدن و چرخش دست ها
تک پا چهار درست و پا,تک پا چهار درست و پا
حرکت دادن هیپ ها متقاطع,حرکت دادن هیپ ها متقاطع
خک شدن به طرفین با گرفتن دمبل ها در بالا سر,خک شدن به طرفین با گرفتن دمبل ها در بالا سر
دراز نشست مک گیل,دراز نشست مک گیل
دراز نشست,دراز نشست
دراز و نشست با حمل وزنه,دراز و نشست با حمل وزنه
دراز و نشست با دستان ضربدری(صلیبی),دراز و نشست با دستان ضربدری(صلیبی)
دراز و نشست به صورت متناوب (چرخشی),دراز و نشست به صورت متناوب (چرخشی)
دراز و نشست به صورت معکوس,دراز و نشست به صورت معکوس
دراز و نشست تعدیل شده,دراز و نشست تعدیل شده
دراز و نشست مک گیل(نیم خیز),دراز و نشست مک گیل(نیم خیز)
درست و پا,درست و پا
دست و پای معکوس چهار دست و پا,دست و پای معکوس چهار دست و پا
شتر گربه,شتر گربه
فیله ایستا,فیله ایستا
پایین آوردن یک پا با کنترل,پایین آوردن یک پا با کنترل
پلانک 45 درجه,پلانک 45 درجه
پلانک دستان باز,پلانک دستان باز
پلانک زانو زده,پلانک زانو زده
پلانک پاهای بالا ,پلانک پاهای بالا 
پلانک پهلو تعدیل شده,پلانک پهلو تعدیل شده
پلانک پهلو جمع زانو,پلانک پهلو جمع زانو
پلانک پهلو,پلانک پهلو
پلانک,پلانک
چرخش به صورت زانو زدن تک پا,چرخش به صورت زانو زدن تک پا
چرخش روسی با وزنه,چرخش روسی با وزنه
چرخش روسی,چرخش روسی
کبری دمر,کبری دمر
کرانچ با حمل وزنه,کرانچ با حمل وزنه
کرانچ با دستان ضربدری (صلیبی),کرانچ با دستان ضربدری (صلیبی)
کرانچ با رساندن مچ دست به زانوها (چرخشی),کرانچ با رساندن مچ دست به زانوها (چرخشی)
کرانچ با پاهای بالا کشیده,کرانچ با پاهای بالا کشیده
کرانچ به طرفین,کرانچ به طرفین
کرانچ معکوس,کرانچ معکوس
کرانچ,کرانچ
کشیدن دمبل به منار بدن,کشیدن دمبل به منار بدن
BASIC CRUNCH,کرانچ ابتدایی
DIAGONAL CRUNCH,کرانچ مورب
FRONT PLANK,پلانک جلو
HIP TWIST,پیچش باسن
LEMON SQUEEZER,آبلیمو گیر
PLANK KNEE PULL-IN,جمع شدن زانو در پلانک
POWER SQUAT,اسکوات قدرتی
ROLLER PUSH-UP,شنا غلتکی
SIDE-LIFT BEND,خم شدن به جانب
STEP-DOWN,پایین رفتن پله
SWIMMING,شنا کردن
THE DEAD BUG,حشره مرده
THE TWIST,پیچ و تاب
THIGH ROCK-BACK,پشت ران
THREAD THE NEEDLE,نخ کردن سوزن
TOWEL FLY,فلای حوله ای
V-UP, وی شکم
بالا آوردن پاها با توپ مدیسنبال,بالا آوردن پاها با توپ مدیسنبال
بالارفتن از کوه با قرار دادن دست ها روی مدیسینبال,بالارفتن از کوه با قرار دادن دست ها روی مدیسینبال
بالارفتن از کوه با قرار دادن پاها بر روی ولساید,بالارفتن از کوه با قرار دادن پاها بر روی ولساید
حرکت دادن ران ها به صورت متقاطع بر روی توپ سوئیسی,حرکت دادن ران ها به صورت متقاطع بر روی توپ سوئیسی
دراز و نشست به صورت وی شکل تعدیل شده,دراز و نشست به صورت وی شکل تعدیل شده
دراز و نشست به صورت وی شکل همراه با مدیسینبال,دراز و نشست به صورت وی شکل همراه با مدیسینبال
دراز و نشست روی میز شیبدار به پایین,دراز و نشست روی میز شیبدار به پایین
علتیدن پهلو توپ سوییسی,علتیدن پهلو توپ سوییسی
پایداری به شکل t,پایداری به شکل t
پایین آوردن پاها با کنترل,پایین آوردن پاها با کنترل
پرتاب مدیسینبال به زمین,پرتاب مدیسینبال به زمین
پرتاب مدیسینبال به کنار,پرتاب مدیسینبال به کنار
پرس عصلات مرکزی بدن سیم کش,پرس عصلات مرکزی بدن سیم کش
پلانک بالا کشیدن تک پا,پلانک بالا کشیدن تک پا
پلانک پاهای بالا تک پا  ,پلانک پاهای بالا تک پا  
پلانک پهلو تک پا,پلانک پهلو تک پا
پلانک پهلو پا روی نیمکت,پلانک پهلو پا روی نیمکت
پلانک پهلو پارویی,پلانک پهلو پارویی
پلانک پهلو پلبومتریکی,پلانک پهلو پلبومتریکی
پلانک پهلو یک دسا زیر بدن,پلانک پهلو یک دسا زیر بدن
چاپ ایستاده,چاپ ایستاده
چاپ به صورت ایستاده و معکوس,چاپ به صورت ایستاده و معکوس
چاپ معکوس به صورت زانو زده یک پا,چاپ معکوس به صورت زانو زده یک پا
چاپ معکوس چرخش زانو زده,چاپ معکوس چرخش زانو زده
چاپ همراه با زانو زدن یک پا,چاپ همراه با زانو زدن یک پا
چاپ همراه با چرخش به صورت ایستاده1,چاپ همراه با چرخش به صورت ایستاده1
چاپ همراه با چرخش به صورت ایستاده,چاپ همراه با چرخش به صورت ایستاده
چاپ همراه با چرخش به صورت دوبخشی و ایستاده,چاپ همراه با چرخش به صورت دوبخشی و ایستاده
چاپ همراه با چرخش به صورت زانو زدن با یک پا1,چاپ همراه با چرخش به صورت زانو زدن با یک پا1
چاپ همراه با چرخش به صورت زانو زدن با یک پا,چاپ همراه با چرخش به صورت زانو زدن با یک پا
چاپ همراه با چرخش زانو زده,چاپ همراه با چرخش زانو زده
"چاپ همراه با چرخش، به صورت ایستادن دوبخشی","چاپ همراه با چرخش، به صورت ایستادن دوبخشی"
چرخش روسی به همراه بالا نگه داشتن پاها,چرخش روسی به همراه بالا نگه داشتن پاها
چرخش روسی به همراه رکاب زدن,چرخش روسی به همراه رکاب زدن
چرخش روسی روی توپ سوئیسی,چرخش روسی روی توپ سوئیسی
چهار دست و پا بالا اوردن دست و پای مخالف روی توپ سوییسی ,چهار دست و پا بالا اوردن دست و پای مخالف روی توپ سوییسی 
کرانچ با سیم کش ایستاده,کرانچ با سیم کش ایستاده
کرانچ با کابل زانو زده,کرانچ با کابل زانو زده
کرانچ به طرفین توپ سوییسی,کرانچ به طرفین توپ سوییسی
کرانچ روی توپ سوئیسی با حمل وزنه,کرانچ روی توپ سوئیسی با حمل وزنه
کرانچ روی توپ سوییسی,کرانچ روی توپ سوییسی
کرانچ معکوس با فوم غلتان همراه با دمبل,کرانچ معکوس با فوم غلتان همراه با دمبل
کرانچ معکوس با فوم غلتان همراه با مدیسینبال,کرانچ معکوس با فوم غلتان همراه با مدیسینبال
کرانچ معکوس روی توپ سوئیسی,کرانچ معکوس روی توپ سوئیسی
کرانچ معکوس روی میز با فوم غلتان,کرانچ معکوس روی میز با فوم غلتان
کرانچ معکوس روی میز شیبدار به بالا,کرانچ معکوس روی میز شیبدار به بالا
کشیدن سیم کش به کنار بدن زانو زده معکوس,کشیدن سیم کش به کنار بدن زانو زده معکوس
کشیدن سیم کش به کنار بدن زانو زده,کشیدن سیم کش به کنار بدن زانو زده
جلو بازو با دمبل میز شیب دار بالا,جلو بازو با دمبل میز شیب دار بالا
جلو بازو با دمبل میز شیب دار نزولی,جلو بازو با دمبل میز شیب دار نزولی
جلو بازو با سیم کش متناوب,جلو بازو با سیم کش متناوب
جلو بازو با هالتر لاری روی توپ سوییسی,جلو بازو با هالتر لاری روی توپ سوییسی
پشت بازو با سیمکش بالای سر,پشت بازو با سیمکش بالای سر
پشت بازو با هالتر لاری بالای سر,پشت بازو با هالتر لاری بالای سر
پشت بازو با هالتر لاری خوابیده به پشت توپ سوییسی,پشت بازو با هالتر لاری خوابیده به پشت توپ سوییسی
پشت بازو با هالتر نشسته توپ سوییسی بالای سر,پشت بازو با هالتر نشسته توپ سوییسی بالای سر
پشت بازو دمبل بالای سر توپ سوییسی,پشت بازو دمبل بالای سر توپ سوییسی
کیک بک,کیک بک
شراگ با هالتر بالای سر,شراگ با هالتر بالای سر
پرس سرشانه با فشار پاها,پرس سرشانه با فشار پاها
پرس سرشانه با قیچی زدن پاها,پرس سرشانه با قیچی زدن پاها
پرس سرشانه معکوس روی زمینه,پرس سرشانه معکوس روی زمینه
پرس سرشانه معکوس,پرس سرشانه معکوس
بالا کشیدن ران به شکل رژه روندگان توپ سوییسی,بالا کشیدن ران به شکل رژه روندگان توپ سوییسی
حرکت صبح بخیر زرچر,حرکت صبح بخیر زرچر
صبح بخیر با هالتر تک پا,صبح بخیر با هالتر تک پا
صبح بخیر با هالتر دو بخشی,صبح بخیر با هالتر دو بخشی
صبح بخیر با هالتر نشسته,صبح بخیر با هالتر نشسته
صبح بخیر با هالتر,صبح بخیر با هالتر
لیفت مرده  سامو,لیفت مرده  سامو
لیفت مرده با دمبل تک پا,لیفت مرده با دمبل تک پا
لیفت مرده هالتر تک پا,لیفت مرده هالتر تک پا
لیفت مرده هالتر دست باز,لیفت مرده هالتر دست باز
لیفت مرده هالتر پا صاف تک پا,لیفت مرده هالتر پا صاف تک پا
لیفت مرده هالتر پا صاف,لیفت مرده هالتر پا صاف
لیفت مرده هالتر,لیفت مرده هالتر
لیفت مرده پا صاف دمبل تک پا,لیفت مرده پا صاف دمبل تک پا
لیفت مرده پا صاف دمبل چرخش,لیفت مرده پا صاف دمبل چرخش
پله با هالتر از پهلو,پله با هالتر از پهلو
پله با هالتر,پله با هالتر
کشیدن سیم کش از میان پپاها ب جلو,کشیدن سیم کش از میان پپاها ب جلو
دیپ شیب دار,دیپ شیب دار
دیپ,دیپ
شنا با قرار دادن پاها روی توپ سوییسی,شنا با قرار دادن پاها روی توپ سوییسی
شنا به سبک مرد عنکبوتی,شنا به سبک مرد عنکبوتی
شنا روی توپ سوییسی,شنا روی توپ سوییسی
شنا روی مدیسینبال,شنا روی مدیسینبال
شنای انفجاری متقاطع,شنای انفجاری متقاطع
شنای انفجاری,شنای انفجاری
شنای تک دست روی مدیسینبال,شنای تک دست روی مدیسینبال
شنای نزولی با یک پا,شنای نزولی با یک پا
شنای پلاس توپ سوییسی,شنای پلاس توپ سوییسی
بارفیکس با حوله کف دست ها رو به جلو,بارفیکس با حوله کف دست ها رو به جلو
بارفیکس با دیتان بدون چرخش,بارفیکس با دیتان بدون چرخش
بارفیکس خوابده پارویی معکوس تک دست,بارفیکس خوابده پارویی معکوس تک دست
بارفیکس خوابیده پارویی معکوس با پاهی بالا,بارفیکس خوابیده پارویی معکوس با پاهی بالا
بارفیکس خوابیده پارویی معکوس پاها روی توپ سوییسی,بارفیکس خوابیده پارویی معکوس پاها روی توپ سوییسی
بارفیکس متقاطع دست ها ب جلو,بارفیکس متقاطع دست ها ب جلو
بارفیکس معلق کف دست ها رو به جلو,بارفیکس معلق کف دست ها رو به جلو
بارفیکس منفس کف دست رو به صورت,بارفیکس منفس کف دست رو به صورت
نشر i  روی توپ سوییسی,نشر i  روی توپ سوییسی
نشر L  روی توپ سوییسی,نشر L  روی توپ سوییسی
نشر t  روی توپ سوییسی,نشر t  روی توپ سوییسی
نشر w  روی توپ سوییسی,نشر w  روی توپ سوییسی
نشر y روی توپ سوییسی,نشر y روی توپ سوییسی
پارویی با دستان بدون چرخش و تک پا,پارویی با دستان بدون چرخش و تک پا
پولاور  روی توپ یوییسی,پولاور  روی توپ یوییسی
کشیدن سیم کش به طرف صورت مراه چرخش خارجی دستان خوابیده,کشیدن سیم کش به طرف صورت مراه چرخش خارجی دستان خوابیده
اسکات با هالتر جهشی,اسکات با هالتر جهشی
اسکات با هالتر دستان بالای سر,اسکات با هالتر دستان بالای سر
اسکات با هالتر کلنگی,اسکات با هالتر کلنگی
اسکات تپانچه ای,اسکات تپانچه ای
اسکات دو بخشی بلعارستانی با هالتر,اسکات دو بخشی بلعارستانی با هالتر
اسکات دو بخشی بلغارستانی با دمبل,اسکات دو بخشی بلغارستانی با دمبل
اسکات زرچر,اسکات زرچر
پرش بلند روی جعبه,پرش بلند روی جعبه
پرش دو بخشی با دمبل,پرش دو بخشی با دمبل
جلو بازو  فشردن صفحه با انگشتان,جلو بازو  فشردن صفحه با انگشتان
جلو بازو با دمبل ایستاده با چرخش,جلو بازو با دمبل ایستاده با چرخش
جلو بازو با دمبل ایستاده1,جلو بازو با دمبل ایستاده1
جلو بازو با دمبل ایستاده,جلو بازو با دمبل ایستاده
جلو بازو با دمبل میز شیب دار نشسته,جلو بازو با دمبل میز شیب دار نشسته
جلو بازو با سیم کش,جلو بازو با سیم کش
جلو بازو با هالتر لاری روی نیمکت,جلو بازو با هالتر لاری روی نیمکت
جلو بازو با هالتر لاری,جلو بازو با هالتر لاری
جلو بازو با هالتر معکئس,جلو بازو با هالتر معکئس
جلو بازو چکشی همراه پرس تک پا روی نیمکت,جلو بازو چکشی همراه پرس تک پا روی نیمکت
