code,name
97,لانچ با هالتر روی جعبه
98,لانچ با هالتر روی جغبه معکوس
99,لانچ صلیبی با دمبل
100,لانچ صلیبی
101,لانچ متقاطع با دمبل
102,لیفت مرده با دمبل تک دست
103,لیفت مرده با دمبل
104,لیفت مرده پا صاف دمبل
105,نزدیک کردن کتف ها به هم
106,نشر i  روی زمین
107,نشر i روی میز شیبدار
108,نشر L روی میز شیب دار
109,نشر w روی میز شیب دار
110,نشر y روی نیمکت شیب دار
111,نشر جلو سیم کش
112,نشر روی میزT
113,نشر مورب با سیمکش
114,نگه داشتن دمبل های شش گئشه
115,پارویی با دمبل تک دست بدون چرخش دست
116,پارویی با دمبل متناوب
117,پارویی با سیم کش تک دست ایستاده
118,پارویی با سیم کش تک دست و چرخش
119,پارویی با سیم کش تک دست
120,پارویی با هالتر
121,پارویی تک دست با چرخش دست
122,پارویی تک دست بدون چرخش دست ها همراه ا چرخش تنه
123,پارویی تک دست و پا کف دست به جلو
124,پارویی سیکگش به سمت گردن با چرخش خارجی
125,پاس سینه با توپ طبی
126,پرس بالای سینه روی میز شیب دار
127,پرس سر شانه با دمبل همراه فشار پاها
128,پرس سر شانه با هالتر
129,پرس سرشانه با دمبل توپ سوییسی متناوب
130,پرس سرشانه با دمبل تک دست
131,پرس سرشانه با مبل به صورت متناوبب
132,پرس سرشانه دمبل توپ سوییسی
133,پرس سرشانه نشسته
134,پرس سرشانه یا دمبل  متناوب همراه با چرخش
135,پرس سینه با دستان معکوس
136,پرس سینه با دمبل روی توپ سوییسی متناوب
137,پرس سینه با دمبل روی توپ سوییسی
138,پرس سینه با دمبل روی میز شیبدار با دستان بدون چرخش
139,پرس سینه با دمبل روی میز شیبدار به پایین
140,پرس سینه با دمبل روی نیمکت شییب دار
141,پرس سینه با دمبل متناوب
142,پرس سینه با هالتر با دستان جمع
143,پرس سینه با هالتر به همراه مکث های سه مرحله ای
144,پرس سینه با هالتر روی زمین
145,پرس سینه تک دست با سیم کش
146,پرس سینه همراه با هالتر با حوله
147,پرس سینه
148,پرس پایین سینه روی میز شیب دار
149,پرش عمقی
150,پشت بازو با دمبل خوابیده به پشت توپ سویییسی
151,پشت بازو با هالتر نشسته بالای سر
152,پشت بازو دمبل بالای سر نشسته
153,پشت بازو دمبل بالای سر
154,پشت بازو سیم کش طناب تک دست
155,پشت بازو سیمکش طناب
156,پشت ساق هالتر ایستاده
157,پله با دمبل از صلیبی
158,پله با دمبل از پهلو
159,پله با دمبل
160,پولاور ایستاده با سیم کش
161,چرخش خارجی بازو با دمبل نشسته
162,چرخش خارجی بازو با سیم کش در وضعیت نود درجه
163,چرخش خارجی بازو با سیم کش در وضعیت چهل و پنج درجه
164,چرخش خارجی بازو با سیم کش
165,چرخش خارجی بازو به صورت خوابیده
166,کشیدن سیم کش به سمت صورت همراه ا چرخش خارجی
167,گام زدن با هالتر
